seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3
35033.0,40850.0,21273.0,1198.0,16560.0,-1238.0,17637.0
34677.0,41605.0,21448.0,1126.0,16410.0,-1243.0,17633.0
34386.0,41745.0,21472.0,1189.0,16306.0,-1333.0,17838.0
35541.0,42718.0,21638.0,1157.0,16206.0,-1254.0,17653.0
34721.0,43560.0,21961.0,1083.0,16065.0,-1307.0,17224.0
34914.0,43129.0,22222.0,1007.0,15992.0,-1325.0,17268.0
35044.0,42599.0,22100.0,1152.0,15901.0,-1306.0,17377.0
35132.0,42529.0,21906.0,1142.0,15713.0,-1331.0,17601.0
34845.0,42775.0,21833.0,1147.0,15565.0,-1355.0,17799.0
35158.0,42672.0,21734.0,1173.0,15435.0,-1381.0,17696.0
