index,DataReceived,DataProcessed,DataSaved
1,1562859778.31679,1562859778.8020062,1562859779.6968784
2,1562859787.8822796,1562859787.9844024,1562859788.8723462
3,1562859797.3844151,1562859797.481577,1562859798.3582144
4,1562859806.8849447,1562859806.9803185,1562859807.8508935
5,1562859816.3896947,1562859816.4854617,1562859817.278491
6,1562859826.634492,1562859826.7326078,1562859828.0586321
7,1562859836.9359539,1562859837.0341527,1562859837.8802412
8,1562859847.2638288,1562859847.361286,1562859848.2153234
9,1562859857.5124466,1562859857.6077719,1562859858.5389347
10,1562859867.6096258,1562859867.7122798,1562859868.5032065
