index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLength
1,1562859178.194203,1562859178.18428,1562859178.666,1562859179.58864,1066
2,1562859192.374326,1562859192.39155,1562859192.48532,1562859193.34109,1098
3,1562859206.559863,1562859206.58302,1562859206.68497,1562859207.57113,1050
4,1562859220.745416,1562859220.73459,1562859220.83793,1562859221.67251,1130
5,1562859234.930762,1562859234.92922,1562859235.01891,1562859235.87983,1130
6,1562859249.139204,1562859249.12729,1562859249.23425,1562859250.09125,1100
7,1562859263.302772,1562859263.33745,1562859263.43478,1562859264.54912,1082
8,1562859277.487242,1562859277.48512,1562859277.58967,1562859278.45043,1066
9,1562859291.684443,1562859291.67816,1562859291.77568,1562859292.69242,1098
10,1562859305.855968,1562859305.84567,1562859305.9318,1562859306.79363,1130
11,1562859320.040734,1562859320.02839,1562859320.1324,1562859321.08224,1146
